2015-10-14 17:17:07 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2015-10-14 17:17:07 INFO  TableMetadata:69 - HHH000126: Indexes: [primary]
2015-10-14 17:17:07 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2015-10-14 17:17:23 INFO  ClassPathXmlApplicationContext:573 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@be9560: startup date [Wed Oct 14 17:17:23 EEST 2015]; root of context hierarchy
2015-10-14 17:17:23 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [app-context.xml]
2015-10-14 17:17:24 INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from class path resource [db.properties]
2015-10-14 17:17:24 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: com.mysql.jdbc.Driver
2015-10-14 17:17:24 INFO  LocalContainerEntityManagerFactoryBean:339 - Building JPA container EntityManagerFactory for persistence unit 'my-unit'
2015-10-14 17:17:25 INFO  Version:37 - HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
2015-10-14 17:17:25 INFO  Version:41 - HHH000412: Hibernate Core {4.2.1.Final}
2015-10-14 17:17:25 INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-10-14 17:17:25 INFO  Environment:342 - HHH000021: Bytecode provider name : javassist
2015-10-14 17:17:25 INFO  Ejb3Configuration:528 - HHH000204: Processing PersistenceUnitInfo [
	name: my-unit
	...]
2015-10-14 17:17:26 INFO  ConnectionProviderInitiator:188 - HHH000130: Instantiating explicit connection provider: org.hibernate.ejb.connection.InjectedDataSourceConnectionProvider
